16	16	8	8	8	8	9	12	24	24	22	22	22	22	20	20	20	20	20	20	20	32	20	20	20	20	20	20	20	20	20	20	24	24	24	24	20	20	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24	24	20	20	20	20	24	24	24	24	24	24	24	24	20	24	24	12	12	12	12	12	12	12	12	12	12	12	12	12	9	12	12	16	12	12	12	9	9	12	12	12	12	12	12	12	12	12	12	12	
24	12	12	24	24	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24	24	24	20	24	24	24	24	24	22	22	22	24	24	24	24	24	24	24	24	24	24	24	24	24	24	20	20	20	20	20	20	20	20	20	19	19	20	20	20	20	20	20	20	24	24	32	24	24	24	24	24	24	24	24	24	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
24	24	24	12	12	12	12	24	12	20	19	20	20	20	20	20	19	19	19	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24	20	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	19	20	20	20	20	20	20	20	24	24	24	24	24	24	24	24	24	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
12	12	24	22	24	20	19	20	20	20	20	20	20	20	20	19	19	19	20	20	20	20	20	20	20	20	20	24	32	20	20	20	20	20	24	24	20	20	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	20	19	19	20	20	20	20	20	20	20	24	24	24	19	24	22	22	24	24	20	20	20	20	24	24	24	24	24	24	24	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
24	24	24	24	22	22	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24	24	20	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	19	19	19	19	19	19	19	20	20	19	19	19	19	19	19	24	24	20	20	20	24	24	24	22	24	24	24	24	24	24	20	20	20	12	12	20	20	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
22	22	16	12	19	20	20	20	20	20	20	20	20	20	19	19	19	20	20	20	20	20	20	20	20	20	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	22	24	24	24	24	24	24	24	24	24	24	24	19	19	19	19	19	19	19	19	19	20	24	19	19	24	20	24	24	20	24	20	20	20	24	24	24	24	24	24	24	24	24	24	24	24	24	20	20	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	9	12	
24	24	24	24	24	22	19	24	24	20	20	20	20	20	20	20	20	19	19	19	19	19	20	22	24	24	24	32	24	20	20	20	20	24	20	24	24	20	20	20	20	20	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	20	19	19	19	19	22	22	22	22	24	22	24	24	24	22	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	20	20	20	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
22	20	24	24	20	25	24	24	22	24	24	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24	24	24	24	20	20	20	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24	20	24	24	20	20	20	24	24	24	20	20	20	12	12	12	12	20	12	12	12	12	12	12	12	12	12	12	9	12	12	12	12	12	9	12	12	12	9	12	12	12	12	12	12	12	12	
24	22	24	24	22	22	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24	24	24	24	24	24	24	24	24	20	24	24	24	24	22	24	24	24	24	24	24	24	24	24	24	24	24	20	20	20	20	20	20	20	19	19	19	19	19	22	24	24	24	24	24	20	20	20	20	24	24	24	24	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	
24	24	22	22	24	24	22	22	22	22	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	20	24	20	20	24	22	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	24	22	22	22	22	19	19	20	20	24	24	24	24	24	24	24	20	24	24	24	24	22	22	24	24	24	24	24	24	20	20	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	12	9	12	12	12	12	12	9	12	12	9	9	9	9	9	9	
